time,S
0,9.77647226334696
1,10.052929466753
2,9.69446932028831
3,9.26396045149152
4,8.89834079526365
5,8.488393763393
6,7.98900315436451
7,7.48229372443103
8,6.81250854721334
9,6.17441818357695
10,5.39309966164657
11,4.12607487888249
12,2.82217592629237
13,1.79117503806433
14,0.680007877525141
15,-0.0783014096252128
16,0.205818536922681
17,0.0632117190556865
18,0.0272348018776476
19,0.103071491534313
20,0.0522836633408699
21,-0.188296883407694
22,-0.0324675485741575
23,-0.0292110573825569
24,-0.106402117822875
25,0.336419638811589
26,-0.175144821802535
27,-0.0967629574298449
28,-0.142400913381022
29,-0.234842477538148
30,-0.0384478477049226
