time,S,X
0,10,1
1,9.80079772492883,1.19920227507117
2,9.56244069207891,1.43755930792109
3,9.27753356220006,1.72246643779994
4,8.9373850348434,2.0626149651566
5,8.53191503342164,2.46808496657836
6,8.04962467863486,2.95037532136514
7,7.47768459954601,3.52231540045399
8,6.80225047604358,4.19774952395642
9,6.00920562553463,4.99079437446537
10,5.08770432429989,5.91229567570011
11,4.03269199174555,6.96730800825445
12,2.86411859397012,8.13588140602988
13,1.66613696664681,9.33386303335319
14,0.643362424924853,10.3566375750751
15,0.127652099088111,10.8723479009119
16,0.0159741706964765,10.9840258293035
17,0.00179933522634579,10.9982006647737
18,0.000199813457756483,10.9998001865422
19,2.22244293431105e-05,10.9999777755707
20,2.39852979338933e-06,10.9999976014702
21,2.70783392781839e-07,10.9999997292166
22,-1.4013391993248e-08,11.0000000140134
23,-1.30516251654077e-07,11.0000001305162
24,1.57538889183113e-07,10.9999998424611
25,-1.08012104671223e-06,11.000001080121
26,1.04742946862943e-06,10.9999989525705
27,5.25921792886157e-08,10.9999999474078
28,-3.57553769372585e-09,11.0000000035755
29,-1.12467848721291e-08,11.0000000112468
30,5.58029323098685e-08,10.9999999441971
