time,S,X
0,12,0.1
1,11.9797258237492,0.120274176250755
2,11.9553432746409,0.144656725359128
3,11.9260266849529,0.173973315047142
4,11.8907758464081,0.209224153591931
5,11.8483904360776,0.251609563922394
6,11.7974412104366,0.302558789563407
7,11.7361984588733,0.363801541126716
8,11.6625891782878,0.437410821712166
9,11.5741488492525,0.525851150747501
10,11.4679020429049,0.632097957095106
11,11.3402919596218,0.759708040378233
12,11.187102856072,0.912897143928049
13,11.003269828754,1.09673017124602
14,10.7827705583617,1.31722944163834
15,10.5185129746986,1.58148702530138
16,10.2020705045393,1.89792949546073
17,9.82355093534571,2.27644906465429
18,9.37149250337332,2.72850749662668
19,8.832701884405,3.267298115595
20,8.1923122517904,3.9076877482096
21,7.43406810485749,4.66593189514251
22,6.54193783621413,5.55806216378587
23,5.50218243241792,6.59781756758207
24,4.30868951950839,7.79131048049161
25,2.98792016591861,9.11207983408139
26,1.6330649589936,10.4669350410064
27,0.535963854883019,11.564036145117
28,0.0791461420166033,12.0208538579834
29,0.00760857837475947,12.0923914216252
30,0.000682112937313598,12.0993178870627
